file1 file2 flip runtime primal_bound
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_3_5 19 0 19
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_4_5 22 0 22
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_5_5 -25 300037 -26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_6_5 20 0 20
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_7_5 20 0 20
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_8_5 21 0 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_9_5 21 0 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 -28 300007 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_3_5 32 162911 32
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_4_5 -28 300056 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_5_5 29 0 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_6_5 -30 300056 -32
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_7_5 -25 300044 -27
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_8_5 29 208971 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_9_5 15 0 15
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_10_5 -35 300080 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_11_5 -27 300023 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_12_5 -28 300105 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_1_5 32 0 32
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_2_5 -26 300011 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_3_5 -33 300064 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_4_5 -31 300181 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_5_5 31 0 31
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_6_5 -28 300021 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_7_5 26 0 26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_8_5 -27 300013 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_9_5 -31 300025 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_10_5 -30 300112 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_11_5 30 0 30
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_12_5 29 0 29
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_1_5 25 90788 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_2_5 -28 300011 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_3_5 21 0 21
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_4_5 20 0 20
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_5_5 -28 300003 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_6_5 -31 300058 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_7_5 -27 300008 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_8_5 -31 300032 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2011_9_5 15 0 15
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_3_5 18 0 18
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_4_5 -24 300061 -26
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_5_5 -27 300010 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_6_5 24 185074 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_7_5 27 0 27
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_8_5 24 202544 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_9_5 28 0 28
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_10_5 25 0 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_11_5 19 0 19
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_12_5 -26 300002 -2147483648
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_1_5 25 0 25
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_2_5 -26 300048 -28
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_3_5 24 0 24
../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2009_2_5 ../data/sealevel_experiments_paper/s_41/s_41_5/triangulation/t_2010_4_5 -26 300005 -2147483648
